Semester,Final Score,Final Grade
Fall 2017,84.29,B
Fall 2017,47.31,F
Fall 2017,76.73,BC
Fall 2017,77.46,BC
Fall 2017,71.53,C
Fall 2017,64.37,F
Fall 2017,82.85,B
Fall 2017,90.1,AB
Fall 2017,74,C
Fall 2017,70.5,C
Fall 2017,77.42,BC
Fall 2017,77.63,BC
Fall 2017,68.07,F
Fall 2017,77.98,BC
Fall 2017,75.1,BC
Fall 2017,67.88,F
Fall 2017,76.6,BC
Fall 2017,79.87,BC
Fall 2017,71.86,C
Fall 2017,80.44,B
Fall 2017,71.82,C
Fall 2017,75.06,BC
Fall 2017,77.47,BC
